Coordinate,Chunk number,Block number
-146.7,-10,13.300000000000011
-147.3,-10,12.699999999999989
148.3,9,4.300000000000011
147.7,9,3.6999999999999886
-147.7,-10,12.300000000000011
-148.3,-10,11.699999999999989
149.3,9,5.300000000000011
148.7,9,4.699999999999989
-148.7,-10,11.300000000000011
-149.3,-10,10.699999999999989
150.3,9,6.300000000000011
149.7,9,5.699999999999989
-149.7,-10,10.300000000000011
-150.3,-10,9.699999999999989
151.3,9,7.300000000000011
150.7,9,6.699999999999989
-150.7,-10,9.300000000000011
-151.3,-10,8.699999999999989
152.3,9,8.300000000000011
151.7,9,7.699999999999989
-151.7,-10,8.300000000000011
-152.3,-10,7.699999999999989
153.3,9,9.300000000000011
152.7,9,8.699999999999989
-152.7,-10,7.300000000000011
-153.3,-10,6.699999999999989
154.3,9,10.300000000000011
153.7,9,9.699999999999989
-153.7,-10,6.300000000000011
-154.3,-10,5.699999999999989
155.3,9,11.300000000000011
154.7,9,10.699999999999989
-154.7,-10,5.300000000000011
-155.3,-10,4.699999999999989
156.3,9,12.300000000000011
155.7,9,11.699999999999989
-155.7,-10,4.300000000000011
-156.3,-10,3.6999999999999886
157.3,9,13.300000000000011
156.7,9,12.699999999999989
-156.7,-10,3.3000000000000114
-157.3,-10,2.6999999999999886
158.3,9,14.300000000000011
157.7,9,13.699999999999989
-157.7,-10,2.3000000000000114
-158.3,-10,1.6999999999999886
159.3,9,15.300000000000011
158.7,9,14.699999999999989
-158.7,-10,1.3000000000000114
-159.3,-10,0.6999999999999886
160.3,10,0.30000000000001137
159.7,9,15.699999999999989
-159.7,-10,0.30000000000001137
-160.3,-11,15.699999999999989
161.3,10,1.3000000000000114
160.7,10,0.6999999999999886
-160.7,-11,15.300000000000011
-161.3,-11,14.699999999999989
162.3,10,2.3000000000000114
161.7,10,1.6999999999999886
-161.7,-11,14.300000000000011
-162.3,-11,13.699999999999989
163.3,10,3.3000000000000114
162.7,10,2.6999999999999886
-162.7,-11,13.300000000000011
-163.3,-11,12.699999999999989
164.3,10,4.300000000000011
163.7,10,3.6999999999999886
-163.7,-11,12.300000000000011
-164.3,-11,11.699999999999989
165.3,10,5.300000000000011
164.7,10,4.699999999999989
-164.7,-11,11.300000000000011
-165.3,-11,10.699999999999989
166.3,10,6.300000000000011
165.7,10,5.699999999999989
-165.7,-11,10.300000000000011
-166.3,-11,9.699999999999989
167.3,10,7.300000000000011
166.7,10,6.699999999999989
-166.7,-11,9.300000000000011
-167.3,-11,8.699999999999989
168.3,10,8.300000000000011
167.7,10,7.699999999999989
-167.7,-11,8.300000000000011
-168.3,-11,7.699999999999989
169.3,10,9.300000000000011
168.7,10,8.699999999999989
-168.7,-11,7.300000000000011
-169.3,-11,6.699999999999989
170.3,10,10.300000000000011
169.7,10,9.699999999999989
-169.7,-11,6.300000000000011
-170.3,-11,5.699999999999989
171.3,10,11.300000000000011
170.7,10,10.699999999999989
-170.7,-11,5.300000000000011
-171.3,-11,4.699999999999989
172.3,10,12.300000000000011
171.7,10,11.699999999999989
-171.7,-11,4.300000000000011
-172.3,-11,3.6999999999999886
173.3,10,13.300000000000011
172.7,10,12.699999999999989
-172.7,-11,3.3000000000000114
-173.3,-11,2.6999999999999886
174.3,10,14.300000000000011
173.7,10,13.699999999999989
-173.7,-11,2.3000000000000114
-174.3,-11,1.6999999999999886
175.3,10,15.300000000000011
174.7,10,14.699999999999989
-174.7,-11,1.3000000000000114
-175.3,-11,0.6999999999999886
176.3,11,0.30000000000001137
175.7,10,15.699999999999989
-175.7,-11,0.30000000000001137
-176.3,-12,15.699999999999989
177.3,11,1.3000000000000114
176.7,11,0.6999999999999886
-176.7,-12,15.300000000000011
-177.3,-12,14.699999999999989
178.3,11,2.3000000000000114
177.7,11,1.6999999999999886
-177.7,-12,14.300000000000011
-178.3,-12,13.699999999999989
179.3,11,3.3000000000000114
178.7,11,2.6999999999999886
-178.7,-12,13.300000000000011
-179.3,-12,12.699999999999989
180.3,11,4.300000000000011
179.7,11,3.6999999999999886
-179.7,-12,12.300000000000011
-180.3,-12,11.699999999999989
181.3,11,5.300000000000011
180.7,11,4.699999999999989
-180.7,-12,11.300000000000011
-181.3,-12,10.699999999999989
182.3,11,6.300000000000011
181.7,11,5.699999999999989
-181.7,-12,10.300000000000011
-182.3,-12,9.699999999999989
183.3,11,7.300000000000011
182.7,11,6.699999999999989
-182.7,-12,9.300000000000011
-183.3,-12,8.699999999999989
184.3,11,8.300000000000011
183.7,11,7.699999999999989
-183.7,-12,8.300000000000011
-184.3,-12,7.699999999999989
185.3,11,9.300000000000011
184.7,11,8.699999999999989
-184.7,-12,7.300000000000011
-185.3,-12,6.699999999999989
186.3,11,10.300000000000011
185.7,11,9.699999999999989
-185.7,-12,6.300000000000011
-186.3,-12,5.699999999999989
187.3,11,11.300000000000011
186.7,11,10.699999999999989
-186.7,-12,5.300000000000011
-187.3,-12,4.699999999999989
188.3,11,12.300000000000011
187.7,11,11.699999999999989
-187.7,-12,4.300000000000011
-188.3,-12,3.6999999999999886
189.3,11,13.300000000000011
188.7,11,12.699999999999989
-188.7,-12,3.3000000000000114
-189.3,-12,2.6999999999999886
190.3,11,14.300000000000011
189.7,11,13.699999999999989
-189.7,-12,2.3000000000000114
-190.3,-12,1.6999999999999886
191.3,11,15.300000000000011
190.7,11,14.699999999999989
-190.7,-12,1.3000000000000114
-191.3,-12,0.6999999999999886
192.3,12,0.30000000000001137
191.7,11,15.699999999999989
-191.7,-12,0.30000000000001137
-192.3,-13,15.699999999999989
193.3,12,1.3000000000000114
192.7,12,0.6999999999999886
-192.7,-13,15.300000000000011
-193.3,-13,14.699999999999989
194.3,12,2.3000000000000114
193.7,12,1.6999999999999886
-193.7,-13,14.300000000000011
-194.3,-13,13.699999999999989
195.3,12,3.3000000000000114
194.7,12,2.6999999999999886
-194.7,-13,13.300000000000011
-195.3,-13,12.699999999999989
196.3,12,4.300000000000011
195.7,12,3.6999999999999886
-195.7,-13,12.300000000000011
-196.3,-13,11.699999999999989
197.3,12,5.300000000000011
196.7,12,4.699999999999989
-196.7,-13,11.300000000000011
-197.3,-13,10.699999999999989
198.3,12,6.300000000000011
197.7,12,5.699999999999989
-197.7,-13,10.300000000000011
-198.3,-13,9.699999999999989
199.3,12,7.300000000000011
198.7,12,6.699999999999989
-198.7,-13,9.300000000000011
-199.3,-13,8.699999999999989
200.3,12,8.300000000000011
199.7,12,7.699999999999989
-199.7,-13,8.300000000000011
-200.3,-13,7.699999999999989
201.3,12,9.300000000000011
200.7,12,8.699999999999989
-200.7,-13,7.300000000000011
-201.3,-13,6.699999999999989
202.3,12,10.300000000000011
201.7,12,9.699999999999989
-201.7,-13,6.300000000000011
-202.3,-13,5.699999999999989
203.3,12,11.300000000000011
202.7,12,10.699999999999989
-202.7,-13,5.300000000000011
-203.3,-13,4.699999999999989
204.3,12,12.300000000000011
203.7,12,11.699999999999989
-203.7,-13,4.300000000000011
-204.3,-13,3.6999999999999886
205.3,12,13.300000000000011
204.7,12,12.699999999999989
-204.7,-13,3.3000000000000114
-205.3,-13,2.6999999999999886
206.3,12,14.300000000000011
205.7,12,13.699999999999989
-205.7,-13,2.3000000000000114
-206.3,-13,1.6999999999999886
207.3,12,15.300000000000011
206.7,12,14.699999999999989
-206.7,-13,1.3000000000000114
-207.3,-13,0.6999999999999886
208.3,13,0.30000000000001137
207.7,12,15.699999999999989
-207.7,-13,0.30000000000001137
-208.3,-14,15.699999999999989
209.3,13,1.3000000000000114
208.7,13,0.6999999999999886
-208.7,-14,15.300000000000011
-209.3,-14,14.699999999999989
210.3,13,2.3000000000000114
209.7,13,1.6999999999999886
-209.7,-14,14.300000000000011
-210.3,-14,13.699999999999989
211.3,13,3.3000000000000114
210.7,13,2.6999999999999886
-210.7,-14,13.300000000000011
-211.3,-14,12.699999999999989
212.3,13,4.300000000000011
211.7,13,3.6999999999999886
-211.7,-14,12.300000000000011
-212.3,-14,11.699999999999989
213.3,13,5.300000000000011
212.7,13,4.699999999999989
-212.7,-14,11.300000000000011
-213.3,-14,10.699999999999989
214.3,13,6.300000000000011
213.7,13,5.699999999999989
-213.7,-14,10.300000000000011
-214.3,-14,9.699999999999989
215.3,13,7.300000000000011
214.7,13,6.699999999999989
